fips,state_abbr,state_full,jurisdiction_name,year,transmitted_total,returned_by_voters,counted_total,rejected_total,reason_sum,rejection_rate,usable,dup_resolved,waves_present,treated,sensitivity_treated,mechanism,confidence,pa_partial,de_edge_case,notes,in_scope,flagged_outlier
0000000023,ME,MAINE,MAINE - UOCAVA,2018,,,,,0.0,,False,False,4,0,0,statute,High,False,False,,True,False
0000000023,ME,MAINE,MAINE - UOCAVA,2020,,,,,0.0,,False,False,4,0,0,statute,High,False,False,,True,False
0000000023,ME,MAINE,UOCAVA-ME,2022,,,,,0.0,,False,False,4,1,1,statute,High,False,False,,True,False
0000000023,ME,MAINE,UOCAVA-ME,2024,,,,,0.0,,False,False,4,1,1,statute,High,False,False,,True,False
0000000100,WI,WISCONSIN,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,2016,94.0,88.0,84.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000100,WI,WISCONSIN,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,2018,27.0,26.0,26.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000100,WI,WISCONSIN,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,2020,174.0,147.0,147.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000100,WI,WISCONSIN,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,2022,50.0,45.0,45.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000100,WI,WISCONSIN,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,2024,61.0,59.0,59.0,0.0,0.0,0.0,True,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
0000000175,WI,WISCONSIN,TOWN OF ABRAMS - OCONTO COUNTY,2016,0.0,0.0,0.0,0.0,0.0,,False,False,5,0,0,discretionary,High,False,False,"Clerks ""may"" return a defective ballot for correction; no uniform mandate.",True,False
