state_abbr,year,treated,sensitivity_treated,mechanism,confidence,pa_partial,de_edge_case,notes
AK,2016,0,0,none,High,False,False,
AK,2018,0,0,none,High,False,False,
AK,2020,0,0,none,High,False,False,
AK,2022,0,0,none,High,False,False,
AK,2024,0,0,none,High,False,False,
AL,2016,0,0,none,High,False,False,
AL,2018,0,0,none,High,False,False,
AL,2020,0,0,none,High,False,False,
AL,2022,0,0,none,High,False,False,
AL,2024,0,0,none,High,False,False,
AR,2016,0,0,none,Medium,False,False,
AR,2018,0,0,none,Medium,False,False,
AR,2020,0,0,none,Medium,False,False,
AR,2022,0,0,none,Medium,False,False,
AR,2024,0,0,none,Medium,False,False,
AZ,2016,1,1,statute,High,False,False,
AZ,2018,1,1,statute,High,False,False,
AZ,2020,1,1,statute,High,False,False,
AZ,2022,1,1,statute,High,False,False,
AZ,2024,1,1,statute,High,False,False,
CA,2016,0,0,statute,High,False,False,
CA,2018,1,1,statute,High,False,False,
CA,2020,1,1,statute,High,False,False,
CA,2022,1,1,statute,High,False,False,
CA,2024,1,1,statute,High,False,False,
CO,2016,1,1,statute,High,False,False,
CO,2018,1,1,statute,High,False,False,
CO,2020,1,1,statute,High,False,False,
CO,2022,1,1,statute,High,False,False,
CO,2024,1,1,statute,High,False,False,
CT,2016,0,0,statute,High,False,False,Law enacted 2026 (Public Act 26-42) — postdates the panel entirely.
CT,2018,0,0,statute,High,False,False,Law enacted 2026 (Public Act 26-42) — postdates the panel entirely.
CT,2020,0,0,statute,High,False,False,Law enacted 2026 (Public Act 26-42) — postdates the panel entirely.
CT,2022,0,0,statute,High,False,False,Law enacted 2026 (Public Act 26-42) — postdates the panel entirely.
CT,2024,0,0,statute,High,False,False,Law enacted 2026 (Public Act 26-42) — postdates the panel entirely.
DC,2016,0,0,statute,High,False,False,
DC,2018,0,0,statute,High,False,False,
DC,2020,0,0,statute,High,False,False,
DC,2022,0,0,statute,High,False,False,
DC,2024,1,1,statute,High,False,False,
DE,2016,0,0,statute,Medium,False,True,Adoption falls at/after the 2024 panel edge; coded conservatively as outside the panel.
DE,2018,0,0,statute,Medium,False,True,Adoption falls at/after the 2024 panel edge; coded conservatively as outside the panel.
DE,2020,0,0,statute,Medium,False,True,Adoption falls at/after the 2024 panel edge; coded conservatively as outside the panel.
DE,2022,0,0,statute,Medium,False,True,Adoption falls at/after the 2024 panel edge; coded conservatively as outside the panel.
DE,2024,0,0,statute,Medium,False,True,Adoption falls at/after the 2024 panel edge; coded conservatively as outside the panel.
FL,2016,1,1,statute,High,False,False,
FL,2018,1,1,statute,High,False,False,
FL,2020,1,1,statute,High,False,False,
FL,2022,1,1,statute,High,False,False,
FL,2024,1,1,statute,High,False,False,
GA,2016,1,1,statute,Medium,False,False,
GA,2018,1,1,statute,Medium,False,False,
GA,2020,1,1,statute,Medium,False,False,
GA,2022,1,1,statute,Medium,False,False,
GA,2024,1,1,statute,Medium,False,False,
HI,2016,0,0,statute,High,False,False,
HI,2018,0,0,statute,High,False,False,
HI,2020,1,1,statute,High,False,False,
HI,2022,1,1,statute,High,False,False,
HI,2024,1,1,statute,High,False,False,
IA,2016,0,0,"statute, then enjoined",Medium,False,False,Treatment reversal: 2017 law in force for 2018 wave only; enjoined from Sept. 2019 onward (LULAC v. Pate).
IA,2018,1,1,"statute, then enjoined",Medium,False,False,Treatment reversal: 2017 law in force for 2018 wave only; enjoined from Sept. 2019 onward (LULAC v. Pate).
IA,2020,0,0,"statute, then enjoined",Medium,False,False,Treatment reversal: 2017 law in force for 2018 wave only; enjoined from Sept. 2019 onward (LULAC v. Pate).
IA,2022,0,0,"statute, then enjoined",Medium,False,False,Treatment reversal: 2017 law in force for 2018 wave only; enjoined from Sept. 2019 onward (LULAC v. Pate).
IA,2024,0,0,"statute, then enjoined",Medium,False,False,Treatment reversal: 2017 law in force for 2018 wave only; enjoined from Sept. 2019 onward (LULAC v. Pate).
ID,2016,0,0,none,Medium,False,False,
ID,2018,0,0,none,Medium,False,False,
ID,2020,0,0,none,Medium,False,False,
ID,2022,0,0,none,Medium,False,False,
ID,2024,0,0,none,Medium,False,False,
IL,2016,1,1,statute,Low,False,False,Existence confirmed; adoption year is an inference (timing unresolved after 8+ attempts).
IL,2018,1,1,statute,Low,False,False,Existence confirmed; adoption year is an inference (timing unresolved after 8+ attempts).
IL,2020,1,1,statute,Low,False,False,Existence confirmed; adoption year is an inference (timing unresolved after 8+ attempts).
IL,2022,1,1,statute,Low,False,False,Existence confirmed; adoption year is an inference (timing unresolved after 8+ attempts).
IL,2024,1,1,statute,Low,False,False,Existence confirmed; adoption year is an inference (timing unresolved after 8+ attempts).
IN,2016,0,0,statute,High,False,False,
IN,2018,0,0,statute,High,False,False,
IN,2020,0,0,statute,High,False,False,
IN,2022,1,1,statute,High,False,False,
IN,2024,1,1,statute,High,False,False,
KS,2016,0,0,statute,High,False,False,
KS,2018,0,0,statute,High,False,False,
KS,2020,1,1,statute,High,False,False,
KS,2022,1,1,statute,High,False,False,
KS,2024,1,1,statute,High,False,False,
KY,2016,0,0,statute,High,False,False,
KY,2018,0,0,statute,High,False,False,
KY,2020,0,0,statute,High,False,False,
KY,2022,1,1,statute,High,False,False,
KY,2024,1,1,statute,High,False,False,
